CURRENTOPERATORNAME,WELL COUNT,CURRENTOPERATORCODE,CURRENTOPERATORCODE,OperatorShort,OperatorAlias,OperatorTicker,CompanyType,Merged,Notes
WALSH PETROLEUM INCORPORATED,1012,35435,35435,WALSH,WALSH,,PRIVATE,NO,
COASTAL OIL & GAS CORPORATION,1000,6918,6918,COASTAL,KM,KMI,PUBLIC,YES,
SOMONT OIL COMPANY INCORPORATED,997,31284,31284,SOMONT,SOMONT,,PRIVATE,NO,
OCCIDENTAL W TX OVERTHRUST INC,994,268919,268919,OCCIDENTAL,OXY,OXY,PUBLIC,NO,
RME PETROLEUM COMPANY,994,208742,208742,RME,ANADARKO,APC,PUBLIC,NO,
PERFORMANCE OPERATING CO LLC,992,232034,232034,PERFORMANCE,PERFORMANCE,,PRIVATE,NO,
UNITEX OIL & GAS LLC,988,214002,214002,UNITEX,UNITEX,,PRIVATE,NO,
WHITE ROCK OIL & GAS LLC,986,254896,254896,WHITE,WHITE ROCK,,PRIVATE,NO,
EL PASO NATURAL GAS COMPANY,984,10319,10319,EL PASO,KM,KMI,PUBLIC,YES,
BTA OIL PRODUCERS LLC,982,227275,227275,BTA,BTA,,PRIVATE,NO,
VASTAR RESOURCES INCORPORATED,979,129746,129746,VASTAR,BP,BP,PUBLIC,YES,
ANADARKO E & P COMPANY LIMITED PRTNRSHIP,978,212283,212283,ANADARKO,ANADARKO,APC,PUBLIC,NO,
ROXANNA PETROLEUM CORPORATION,977,49828,49828,ROXANNA,SHELL,RDSA,PUBLIC,NO,
MURPHY EXPLORATION & PRODUCTION CO-USA,977,218213,218213,MURPHY,MURPHY,MUR,PUBLIC,NO,
BTA OIL PRODUCERS,974,122555,122555,BTA,BTA,,PRIVATE,NO,
FROSTWOOD ENERGY LLC,963,271015,271015,FROSTWOOD,FROSTWOOD,,PRIVATE,NO,
RED WILLOW PRODUCTION COMPANY,958,128402,128402,RED WILLOW,RED WILLOW,,PRIVATE,NO,
SOUTH SAM OPERATING COMPANY,949,237171,237171,SOUTH SAM,SOUTH SAM,,PRIVATE,NO,
WOLVERINE OIL,940,92673,92673,WOLVERINE,WOLVERINE,,PRIVATE,,
BASA RESOURCES INCORPORATED,936,128312,128312,BASA,BASA,,PRIVATE,NO,
